Flight_ID,Flight_Date,Flight_Month,Flight_DayOfWeek,Airline,Origin,Destination,Aircraft,Travel_Class,Passengers,Seat_Capacity,Average_Ticket_Price,Delay_Minutes,Delay_Category,Flight_Status,Weather,Booking_Channel,Avg_Baggage_Kg,Meal_Preference,Fare_Category,Passenger_Satisfaction
FL0146,2026-01-03,January,Saturday,Air India,Chennai,Mumbai,Boeing 737,Economy,64,220,4171,5.0,Low,On Time,Fog,Travel Agency,18,Non-Vegetarian,Low,2
FL0129,2026-01-04,January,Sunday,SpiceJet,Lucknow,Delhi,Boeing 737,Premium Economy,67,210,5657,110.0,Severe,Delayed,Cloudy,Online Travel Portal,21,Non-Vegetarian,Medium,2
FL0102,2026-01-05,January,Monday,Air India,Jaipur,Mumbai,Airbus A319,Economy,158,180,2991,0.0,None,On Time,Cloudy,Airline Website,16,No Meal,Low,2
FL0124,2026-01-06,January,Tuesday,Vistara,Delhi,Chennai,Airbus A319,Economy,138,210,5399,0.0,None,On Time,Cloudy,Mobile App,11,No Meal,Medium,3
FL0031,2026-01-08,January,Thursday,Vistara,Delhi,Srinagar,Airbus A321,Premium Economy,209,180,9962,50.0,Moderate,Delayed,Cloudy,Mobile App,9,Vegetarian,Medium,4
FL0048,2026-01-08,January,Thursday,Air India,Delhi,Chennai,Airbus A321,Economy,68,210,3697,20.0,Moderate,Delayed,Fog,Mobile App,16,Non-Vegetarian,Low,5
FL0134,2026-01-08,January,Thursday,IndiGo,Ahmedabad,Bengaluru,Airbus A319,Premium Economy,77,220,10989,0.0,None,On Time,Cloudy,Travel Agency,17,Vegan,High,5
FL0078,2026-01-09,January,Friday,Vistara,Mumbai,Kolkata,Airbus A321,Economy,179,210,4686,0.0,None,On Time,Storm,Online Travel Portal,10,Vegan,Low,4
FL0140,2026-01-10,January,Saturday,Air India Express,Pune,Delhi,Airbus A320,Premium Economy,87,180,10489,12.0,Low,On Time,Storm,Travel Agency,12,Vegetarian,High,4
FL0059,2026-01-10,January,Saturday,Air India Express,Delhi,Srinagar,Airbus A319,Economy,159,220,3708,20.0,Moderate,Delayed,Storm,Airline Website,11,No Meal,Low,2
FL0103,2026-01-10,January,Saturday,IndiGo,Bengaluru,Hyderabad,Airbus A319,Economy,167,210,7014,20.0,Moderate,Delayed,Fog,Airline Website,8,Vegan,Medium,5
FL0025,2026-01-10,January,Saturday,Vistara,Chennai,Mumbai,Airbus A320,Economy,112,189,6784,12.0,Low,On Time,Clear,Mobile App,20,Vegetarian,Medium,3
FL0098,2026-01-12,January,Monday,SpiceJet,Ahmedabad,Bengaluru,Airbus A319,Economy,131,180,6466,35.0,Moderate,Delayed,Rain,Online Travel Portal,7,Vegetarian,Medium,4
FL0061,2026-01-14,January,Wednesday,IndiGo,Hyderabad,Kolkata,Airbus A319,Economy,182,210,4165,5.0,Low,On Time,Storm,Airline Website,19,Non-Vegetarian,Low,3
FL0099,2026-01-15,January,Thursday,Air India,Mumbai,Bengaluru,Boeing 737,Economy,108,189,3588,35.0,Moderate,Delayed,Rain,Airline Website,14,Non-Vegetarian,Low,4
FL0162,2026-01-18,January,Sunday,Air India,Hyderabad,Kolkata,Airbus A321,Economy,128,189,5263,110.0,Severe,Delayed,Rain,Mobile App,6,Non-Vegetarian,Medium,3
FL0076,2026-01-18,January,Sunday,IndiGo,Ahmedabad,Bengaluru,Airbus A321,Economy,108,210,6808,0.0,None,On Time,Storm,Travel Agency,13,No Meal,Medium,2
FL0138,2026-01-19,January,Monday,Air India Express,Chennai,Mumbai,Boeing 737,Economy,61,180,6077,0.0,None,On Time,Rain,Travel Agency,14,No Meal,Medium,2
FL0145,2026-01-20,January,Tuesday,Akasa Air,Bengaluru,Hyderabad,Airbus A319,Economy,114,186,3022,20.0,Moderate,Delayed,Fog,Mobile App,22,No Meal,Low,2
FL0015,2026-01-21,January,Wednesday,Akasa Air,Lucknow,Delhi,Boeing 737,Economy,133,186,3911,0.0,None,On Time,Cloudy,Travel Agency,21,No Meal,Low,5
FL0127,2026-01-21,January,Wednesday,IndiGo,Delhi,Chennai,Airbus A321,Economy,184,180,4960,5.0,Low,On Time,Fog,Mobile App,10,Vegetarian,Low,5
FL0180,2026-01-22,January,Thursday,Akasa Air,Delhi,Mumbai,Airbus A321,Economy,144,210,3767,75.0,Severe,Delayed,Fog,Online Travel Portal,17,No Meal,Low,5
FL0060,2026-01-24,January,Saturday,IndiGo,Mumbai,Kolkata,Airbus A319,Economy,116,186,3382,0.0,None,On Time,Rain,Airline Website,22,Non-Vegetarian,Low,3
FL0009,2026-01-25,January,Sunday,Akasa Air,Delhi,Chennai,Airbus A320,Economy,82,210,5893,75.0,Severe,Delayed,Cloudy,Mobile App,8,Vegetarian,Medium,4
FL0139,2026-01-27,January,Tuesday,Air India Express,Delhi,Chennai,Airbus A321,Business,169,189,27832,20.0,Moderate,Delayed,Clear,Airline Website,10,Vegan,High,4
FL0118,2026-01-27,January,Tuesday,Air India Express,Jaipur,Mumbai,Airbus A320,Economy,72,210,3831,0.0,None,On Time,Cloudy,Travel Agency,5,Non-Vegetarian,Low,2
FL0090,2026-01-27,January,Tuesday,Vistara,Srinagar,Delhi,Airbus A321,Economy,111,210,3906,0.0,None,On Time,Clear,Airline Website,14,No Meal,Low,2
FL0074,2026-01-28,January,Wednesday,IndiGo,Ahmedabad,Bengaluru,Boeing 737,Premium Economy,186,210,7004,0.0,None,On Time,Cloudy,Online Travel Portal,19,Vegetarian,Medium,5
FL0032,2026-01-28,January,Wednesday,Vistara,Hyderabad,Kolkata,Airbus A319,Premium Economy,142,189,6730,12.0,Low,On Time,Fog,Airline Website,22,Non-Vegetarian,Medium,4
FL0020,2026-02-01,February,Sunday,SpiceJet,Mumbai,Kolkata,Airbus A320,Economy,125,210,5715,12.0,Low,On Time,Fog,Travel Agency,24,Non-Vegetarian,Medium,5
FL0022,2026-02-01,February,Sunday,Vistara,Kochi,Delhi,Airbus A321,Economy,126,220,5887,75.0,Severe,Delayed,Clear,Airline Website,10,Vegetarian,Medium,2
